ts,x,y,z,w
1612301729.6004055,-0.0,-0.0,0.0,0.20000000298023224
1612301729.6505318,-0.0,-0.0,0.0,0.20000000298023224
1612301729.70065,-0.0,-0.0,0.0,0.20000000298023224
1612301729.750777,-0.0,-0.0,0.0,0.20000000298023224
1612301729.8009021,-0.0,-0.0,0.0,0.20000000298023224
1612301729.8509853,-0.0,-0.0,-0.0,-0.0
1612301729.9011047,-0.0,-0.0,-0.0,-0.0
1612301729.9512064,-0.0,-0.0,-0.0,-0.0
1612301730.0012958,-0.0,-0.0,-0.0,-0.0
1612301730.0513756,-0.0,-0.0,-0.0,-0.0
1612301730.1015089,-0.0,-0.0,-0.0,-0.0
1612301730.1516204,-0.0,-0.0,-0.0,-0.0
1612301730.2017336,-0.0,-0.0,-0.0,-0.0
1612301730.251812,-0.0,-0.0,-0.0,-0.0
1612301730.3018904,-0.0,-0.0,-0.0,-0.0
1612301730.3520148,-0.0,-0.0,-0.0,-0.0
1612301730.4021425,-0.0,-0.0,-0.0,-0.0
1612301730.452282,-0.0,-0.0,-0.0,-0.0
1612301730.50239,-0.0,-0.0,-0.0,-0.0
1612301730.5525155,-0.0,-0.0,-0.0,-0.0
1612301730.6026266,-0.0,-0.0,-0.0,-0.0
1612301730.6527517,-0.0,-0.0,-0.0,-0.0
1612301730.7028365,-0.0,-0.0,-0.0,-0.0
1612301730.7529688,-0.0,-0.0,-0.0,-0.0
1612301730.8030746,-0.0,-0.0,-0.0,-0.0
1612301730.8531573,-0.0,-0.0,-0.0,-0.0
1612301730.903269,-0.0,-0.0,-0.0,-0.0
1612301730.9533944,-0.0,-0.0,-0.0,-0.0
1612301731.003513,-0.0,-0.0,-0.0,-0.0
1612301731.0536275,-0.0,-0.0,-0.0,-0.0
1612301731.1037464,-0.0,-0.0,-0.0,-0.0
1612301731.1538682,-0.0,-0.0,-0.0,-0.0
1612301731.2039833,-0.0,-0.0,-0.0,-0.0
1612301731.254097,-0.0,-0.0,-0.0,-0.0
1612301731.3041763,-0.0,-0.0,-0.0,-0.0
1612301731.354295,-0.0,-0.0,-0.0,-0.0
1612301731.4044185,-0.0,-0.0,-0.0,-0.0
1612301731.4545002,-0.0,-0.0,-0.0,-0.0
1612301731.5046318,-0.0,-0.0,-0.0,-0.0
1612301731.5547233,-0.0,-0.0,-0.0,-0.0
1612301731.6048546,-0.0,-0.0,-0.0,-0.0
1612301731.6549501,-0.0,-0.0,-0.0,-0.0
1612301731.705076,-0.0,-0.0,-0.0,-0.0
1612301731.7552133,-0.0,-0.0,-0.0,-0.0
1612301731.8052921,-0.0,-0.0,-0.0,-0.0
1612301731.8553674,-0.0,-0.0,-0.0,-0.0
1612301731.9054456,-0.0,-0.0,-0.0,-0.0
1612301731.955541,-0.0,-0.0,-0.0,-0.0
1612301732.0056267,-0.0,-0.0,-0.0,-0.0
1612301732.0557423,-0.0,-0.0,-0.0,-0.0
1612301732.1058173,-0.0,-0.0,-0.0,-0.0
1612301732.1559403,-0.0,-0.0,-0.0,-0.0
1612301732.2060447,-0.0,-0.0,-0.0,-0.0
1612301732.2561252,-0.0,-0.0,-0.0,-0.0
1612301732.3062227,-0.0,-0.0,-0.0,-0.0
1612301732.3563461,-0.0,-0.0,-0.0,-0.0
1612301732.4064746,-0.0,-0.0,-0.0,-0.0
1612301732.4566064,-0.0,-0.0,-0.0,-0.0
1612301732.5067124,-0.0,-0.0,-0.0,-0.0
1612301732.5568218,-0.0,-0.0,-0.0,-0.0
1612301732.606901,-0.0,-0.0,-0.0,-0.0
1612301732.6570363,-0.0,-0.0,-0.0,-0.0
1612301732.7071524,-0.0,-0.0,-0.0,-0.0
1612301732.7572584,-0.0,-0.0,-0.0,-0.0
1612301732.8073726,-0.0,-0.0,-0.0,-0.0
1612301732.8575058,-0.0,-0.0,0.0,-0.20000000298023224
1612301732.907588,-0.0,-0.0,0.0,-0.20000000298023224
1612301732.957705,-0.0,-0.0,0.0,-0.20000000298023224
1612301733.0077846,-0.0,-0.0,0.0,-0.20000000298023224
1612301733.057902,-0.0,-0.0,0.0,-0.20000000298023224
1612301733.1080186,-0.0,-0.0,0.0,-0.20000000298023224
1612301733.1581233,-0.0,-0.0,0.0,-0.20000000298023224
1612301733.2082398,-0.0,-0.0,0.0,-0.20000000298023224
1612301733.258325,-0.0,-0.0,0.0,-0.20000000298023224
1612301733.3084471,-0.0,-0.0,0.0,-0.20000000298023224
1612301733.3585591,-0.0,-0.0,0.0,-0.20000000298023224
1612301733.4087074,-0.0,-0.0,0.0,-0.20000000298023224
1612301733.4588294,-0.0,-0.0,0.0,-0.20000000298023224
1612301733.5089343,-0.0,-0.0,0.0,-0.20000000298023224
1612301733.559049,-0.0,-0.0,0.0,-0.20000000298023224
1612301733.6091816,-0.0,-0.0,0.0,-0.20000000298023224
1612301733.6593146,-0.0,-0.0,0.0,-0.20000000298023224
1612301733.709425,-0.0,-0.0,0.0,-0.20000000298023224
1612301733.7595413,-0.0,-0.0,0.0,-0.20000000298023224
1612301733.8096616,-0.0,-0.0,0.0,-0.20000000298023224
1612301733.8597896,-0.0,-0.0,0.0,-0.20000000298023224
1612301733.9098988,-0.0,-0.0,0.0,-0.20000000298023224
1612301733.9600165,-0.0,-0.0,0.0,-0.20000000298023224
1612301734.0101001,-0.0,-0.0,0.0,-0.20000000298023224
1612301734.0602279,-0.0,-0.0,0.0,-0.20000000298023224
1612301734.1103513,-0.0,-0.0,0.0,-0.20000000298023224
1612301734.160484,-0.0,-0.0,0.0,-0.20000000298023224
1612301734.2105925,-0.0,-0.0,0.0,-0.20000000298023224
1612301734.2607188,-0.0,-0.0,0.0,-0.20000000298023224
1612301734.3107963,-0.0,-0.0,0.0,-0.20000000298023224
1612301734.3609147,-0.0,-0.0,0.0,-0.20000000298023224
1612301734.411042,-0.0,-0.0,0.0,-0.20000000298023224
1612301734.4611316,-0.0,-0.0,0.0,-0.20000000298023224
1612301734.5112302,-0.0,-0.0,0.0,-0.20000000298023224
1612301734.5613134,-0.0,-0.0,0.0,-0.20000000298023224
1612301734.611441,-0.0,-0.0,0.0,-0.20000000298023224
1612301734.6615508,-0.0,-0.0,0.0,-0.20000000298023224
1612301734.711668,-0.0,-0.0,0.0,-0.20000000298023224
1612301734.761792,-0.0,-0.0,0.0,-0.20000000298023224
1612301734.8119206,-0.0,-0.0,0.0,-0.20000000298023224
1612301734.8620436,-0.0,-0.0,0.0,-0.20000000298023224
1612301734.9121273,-0.0,-0.0,0.0,-0.20000000298023224
1612301734.962255,-0.0,-0.0,0.0,-0.20000000298023224
1612301735.0123408,-0.0,-0.0,0.0,-0.20000000298023224
1612301735.0624537,-0.0,-0.0,0.0,-0.20000000298023224
1612301735.1125739,-0.0,-0.0,0.0,-0.20000000298023224
1612301735.1626875,-0.0,-0.0,0.0,-0.20000000298023224
1612301735.2127721,-0.0,-0.0,0.0,-0.20000000298023224
1612301735.2628202,-0.0,-0.0,0.0,-0.20000000298023224
1612301735.3129592,-0.0,-0.0,0.0,-0.20000000298023224
1612301735.363045,-0.0,-0.0,0.0,-0.20000000298023224
1612301735.4131699,-0.0,-0.0,0.0,-0.20000000298023224
1612301735.4632845,-0.0,-0.0,0.0,-0.20000000298023224
1612301735.5134084,-0.0,-0.0,0.0,-0.20000000298023224
1612301735.5635273,-0.0,-0.0,0.0,-0.20000000298023224
1612301735.6136465,-0.0,-0.0,0.0,-0.20000000298023224
1612301735.663777,-0.0,-0.0,0.0,-0.20000000298023224
1612301735.7139018,-0.0,-0.0,0.0,-0.20000000298023224
1612301735.7640352,-0.0,-0.0,0.0,-0.20000000298023224
1612301735.8141162,-0.0,-0.0,0.0,-0.20000000298023224
1612301735.8642333,-0.0,-0.0,0.0,-0.20000000298023224
1612301735.9143534,-0.0,-0.0,0.0,-0.20000000298023224
1612301735.9644725,-0.0,-0.0,0.0,-0.20000000298023224
1612301736.0146008,-0.0,-0.0,0.0,-0.20000000298023224
1612301736.064714,-0.0,-0.0,0.0,-0.20000000298023224
1612301736.1148596,-0.0,-0.0,0.0,-0.20000000298023224
1612301736.1649828,-0.0,-0.0,0.0,-0.20000000298023224
1612301736.215079,-0.0,-0.0,0.0,-0.20000000298023224
1612301736.2651813,-0.0,-0.0,0.0,-0.20000000298023224
1612301736.3152995,-0.0,-0.0,0.0,-0.20000000298023224
1612301736.3653815,-0.0,-0.0,0.0,-0.20000000298023224
1612301736.4154973,-0.0,-0.0,0.0,-0.20000000298023224
1612301736.4655888,-0.0,-0.0,0.0,-0.20000000298023224
1612301736.5156753,-0.0,-0.0,0.0,-0.20000000298023224
1612301736.5657582,-0.0,-0.0,0.0,-0.20000000298023224
1612301736.6159031,-0.0,-0.0,0.0,-0.20000000298023224
1612301736.666036,-0.0,-0.0,0.0,-0.20000000298023224
1612301736.7161608,-0.0,-0.0,0.0,-0.20000000298023224
1612301736.7662919,-0.0,-0.0,0.0,-0.20000000298023224
1612301736.816419,-0.0,-0.0,0.0,-0.20000000298023224
1612301736.8666372,-0.0,-0.0,0.0,-0.20000000298023224
1612301736.9167552,-0.0,-0.0,0.0,-0.20000000298023224
1612301736.9668584,-0.0,-0.0,0.0,-0.20000000298023224
1612301737.016961,-0.0,-0.0,0.0,-0.20000000298023224
1612301737.0670419,-0.0,-0.0,0.0,-0.20000000298023224
1612301737.1171677,-0.0,-0.0,0.0,-0.20000000298023224
1612301737.167248,-0.0,-0.0,0.0,-0.20000000298023224
1612301737.2173667,-0.0,-0.0,0.0,-0.20000000298023224
1612301737.2674885,-0.0,-0.0,0.0,-0.20000000298023224
1612301737.317593,-0.0,-0.0,0.0,-0.20000000298023224
1612301737.3676732,-0.0,-0.0,0.0,-0.20000000298023224
1612301737.4177516,-0.0,-0.0,0.0,-0.20000000298023224
1612301737.4678888,-0.0,-0.0,0.0,-0.20000000298023224
1612301737.517977,-0.0,-0.0,0.0,-0.20000000298023224
1612301737.5680914,-0.0,-0.0,0.0,-0.20000000298023224
1612301737.6182039,-0.0,-0.0,0.0,-0.20000000298023224
1612301737.668315,-0.0,-0.0,0.0,-0.20000000298023224
1612301737.718393,-0.0,-0.0,0.0,-0.20000000298023224
1612301737.7684736,-0.0,-0.0,0.0,-0.20000000298023224
1612301737.8186002,-0.0,-0.0,0.0,-0.20000000298023224
1612301737.8687193,-0.0,-0.0,0.0,-0.20000000298023224
1612301737.918853,-0.0,-0.0,0.0,-0.20000000298023224
1612301737.9689686,-0.0,-0.0,0.0,-0.20000000298023224
1612301738.0190752,-0.0,-0.0,0.0,-0.20000000298023224
1612301738.0691926,-0.0,-0.0,0.0,-0.20000000298023224
1612301738.1193004,-0.0,-0.0,0.0,-0.20000000298023224
1612301738.16942,-0.0,-0.0,0.0,-0.20000000298023224
1612301738.2195435,-0.0,-0.0,0.0,-0.20000000298023224
1612301738.2696562,-0.0,-0.0,0.0,-0.20000000298023224
1612301738.3197777,-0.0,-0.0,0.0,-0.20000000298023224
1612301738.369861,-0.0,-0.0,0.0,-0.20000000298023224
1612301738.4199748,-0.0,-0.0,0.0,-0.20000000298023224
1612301738.4700787,-0.0,-0.0,0.0,-0.20000000298023224
1612301738.5201874,-0.0,-0.0,0.0,-0.20000000298023224
1612301738.5704,-0.0,-0.0,0.0,-0.20000000298023224
1612301738.6204846,-0.0,-0.0,0.0,-0.20000000298023224
1612301738.670594,-0.0,-0.0,0.0,-0.20000000298023224
1612301738.7206762,-0.0,-0.0,0.0,-0.20000000298023224
1612301738.7708144,-0.0,-0.0,0.0,-0.20000000298023224
1612301738.8209558,-0.0,-0.0,0.0,-0.20000000298023224
1612301738.8710697,-0.0,-0.0,0.0,-0.20000000298023224
1612301738.921188,-0.0,-0.0,0.0,-0.20000000298023224
1612301738.9712646,-0.0,-0.0,0.0,-0.20000000298023224
1612301739.021386,-0.0,-0.0,0.0,-0.20000000298023224
1612301739.0715187,-0.0,-0.0,0.0,-0.20000000298023224
1612301739.1216404,-0.0,-0.0,0.0,-0.20000000298023224
1612301739.171768,-0.0,-0.0,0.0,-0.20000000298023224
1612301739.2218568,-0.0,-0.0,0.0,-0.20000000298023224
1612301739.2719338,-0.0,-0.0,0.0,-0.20000000298023224
1612301739.3220522,-0.0,-0.0,0.0,-0.20000000298023224
1612301739.3721364,-0.0,-0.0,0.0,-0.20000000298023224
1612301739.422234,-0.0,-0.0,0.0,-0.20000000298023224
1612301739.4723115,-0.0,-0.0,0.0,-0.20000000298023224
1612301739.5224378,-0.0,-0.0,0.0,-0.20000000298023224
1612301739.5725658,-0.0,-0.0,0.0,-0.20000000298023224
1612301739.6226847,-0.0,-0.0,0.0,-0.20000000298023224
1612301739.6728039,-0.0,-0.0,0.0,-0.20000000298023224
1612301739.7229185,-0.0,-0.0,0.0,-0.20000000298023224
1612301739.773039,-0.0,-0.0,0.0,-0.20000000298023224
1612301739.8231483,-0.0,-0.0,0.0,-0.20000000298023224
1612301739.8732657,-0.0,-0.0,0.0,-0.20000000298023224
1612301739.9233983,-0.0,-0.0,0.0,-0.20000000298023224
1612301739.973474,-0.0,-0.0,0.0,-0.20000000298023224
1612301740.0235922,-0.0,-0.0,0.0,-0.20000000298023224
1612301740.0737238,-0.0,-0.0,0.0,-0.20000000298023224
1612301740.123846,-0.0,-0.0,0.0,-0.20000000298023224
1612301740.1739666,-0.0,-0.0,0.0,-0.20000000298023224
1612301740.2240703,-0.0,-0.0,0.0,-0.20000000298023224
1612301740.2741616,-0.0,-0.0,0.0,-0.20000000298023224
1612301740.3242729,-0.0,-0.0,0.0,-0.20000000298023224
1612301740.3744116,-0.0,-0.0,0.0,-0.20000000298023224
1612301740.424547,-0.0,-0.0,0.0,-0.20000000298023224
1612301740.4746547,-0.0,-0.0,0.0,-0.20000000298023224
1612301740.524786,-0.0,-0.0,0.0,-0.20000000298023224
1612301740.574831,-0.0,-0.0,0.0,-0.20000000298023224
1612301740.6249185,-0.0,-0.0,0.0,-0.20000000298023224
1612301740.6749983,-0.0,-0.0,0.0,-0.20000000298023224
1612301740.7250795,-0.0,-0.0,0.0,-0.20000000298023224
1612301740.7751985,-0.0,-0.0,0.0,-0.20000000298023224
1612301740.8253481,-0.0,-0.0,0.0,-0.20000000298023224
1612301740.8754516,-0.0,-0.0,0.0,-0.20000000298023224
1612301740.9255676,-0.0,-0.0,0.0,-0.20000000298023224
1612301740.975654,-0.0,-0.0,0.0,-0.20000000298023224
1612301741.0257716,-0.0,-0.0,0.0,-0.20000000298023224
1612301741.075891,-0.0,-0.0,0.0,-0.20000000298023224
1612301741.1260066,-0.0,-0.0,0.0,-0.20000000298023224
1612301741.1761208,-0.0,-0.0,0.0,-0.20000000298023224
1612301741.2262325,-0.0,-0.0,0.0,-0.20000000298023224
1612301741.27632,-0.0,-0.0,0.0,-0.20000000298023224
1612301741.3264482,-0.0,-0.0,0.0,-0.20000000298023224
1612301741.3765275,-0.0,-0.0,0.0,-0.20000000298023224
1612301741.4266522,-0.0,-0.0,0.0,-0.20000000298023224
1612301741.4767356,-0.0,-0.0,0.0,-0.20000000298023224
1612301741.5268447,-0.0,-0.0,0.0,-0.20000000298023224
1612301741.5769732,-0.0,-0.0,0.0,-0.20000000298023224
1612301741.6270797,-0.0,-0.0,0.0,-0.20000000298023224
1612301741.677144,-0.0,-0.0,0.0,-0.20000000298023224
1612301741.727235,-0.0,-0.0,0.0,-0.20000000298023224
1612301741.7773414,-0.0,-0.0,0.0,-0.20000000298023224
1612301741.8274336,-0.0,-0.0,0.0,-0.20000000298023224
1612301741.8775382,-0.0,-0.0,0.0,-0.20000000298023224
1612301741.9276357,-0.0,-0.0,0.0,-0.20000000298023224
1612301741.977728,-0.0,-0.0,0.0,-0.20000000298023224
1612301742.0278282,-0.0,-0.0,0.0,-0.20000000298023224
1612301742.0779243,-0.0,-0.0,0.0,-0.20000000298023224
1612301742.12803,-0.0,-0.0,0.0,-0.20000000298023224
1612301742.1781237,-0.0,-0.0,0.0,-0.20000000298023224
1612301742.2282383,-0.0,-0.0,0.0,-0.20000000298023224
1612301742.2783504,-0.0,-0.0,0.0,-0.20000000298023224
1612301742.328468,-0.0,-0.0,0.0,-0.20000000298023224
1612301742.3786123,-0.0,-0.0,0.0,-0.20000000298023224
1612301742.4287794,-0.0,-0.0,0.0,-0.20000000298023224
1612301742.478882,-0.0,-0.0,0.0,-0.20000000298023224
1612301742.528991,-0.0,-0.0,0.0,-0.20000000298023224
1612301742.5790594,-0.0,-0.0,0.0,-0.20000000298023224
1612301742.6291819,-0.0,-0.0,0.0,-0.20000000298023224
1612301742.679316,-0.0,-0.0,0.0,-0.20000000298023224
1612301742.7294474,-0.0,-0.0,0.0,-0.20000000298023224
1612301742.779569,-0.0,-0.0,0.0,-0.20000000298023224
1612301742.8296847,-0.0,-0.0,0.0,-0.20000000298023224
1612301742.8797839,-0.0,-0.0,0.0,-0.20000000298023224
1612301742.9298806,-0.0,-0.0,0.0,-0.20000000298023224
1612301742.979972,-0.0,-0.0,0.0,-0.20000000298023224
1612301743.0300376,-0.0,-0.0,0.0,-0.20000000298023224
1612301743.0801332,-0.0,-0.0,0.0,-0.20000000298023224
1612301743.1302397,-0.0,-0.0,0.0,-0.20000000298023224
1612301743.1803136,-0.0,-0.0,0.0,-0.20000000298023224
1612301743.2303874,-0.0,-0.0,0.0,-0.20000000298023224
1612301743.280468,-0.0,-0.0,0.0,-0.20000000298023224
1612301743.3305857,-0.0,-0.0,-0.0,-0.0
1612301743.3807025,-0.0,-0.0,-0.0,-0.0
1612301743.4308496,-0.0,-0.0,-0.0,-0.0
1612301743.4809663,-0.0,-0.0,-0.0,-0.0
1612301743.5310907,-0.0,-0.0,-0.0,-0.0
1612301743.5812113,-0.0,-0.0,-0.0,-0.0
1612301743.6313403,-0.0,-0.0,-0.0,-0.0
1612301743.681481,-0.0,-0.0,-0.0,-0.0
1612301743.7315943,-0.0,-0.0,-0.0,-0.0
1612301743.781714,-0.0,-0.0,-0.0,-0.0
1612301743.8318486,-0.0,-0.0,-0.0,-0.0
1612301743.8819766,-0.0,-0.0,-0.0,-0.0
1612301743.9321063,-0.0,-0.0,-0.0,-0.0
1612301743.9821882,-0.0,-0.0,-0.0,-0.0
1612301744.0323055,-0.0,-0.0,-0.0,-0.0
1612301744.0824282,-0.0,-0.0,-0.0,-0.0
1612301744.1325119,-0.0,-0.0,-0.0,-0.0
1612301744.1826313,-0.0,-0.0,-0.0,-0.0
1612301744.23274,-0.0,-0.0,-0.0,-0.0
1612301744.2827876,-0.0,-0.0,-0.0,-0.0
1612301744.332891,-0.0,-0.0,-0.0,-0.0
1612301744.382976,-0.0,-0.0,-0.0,-0.0
1612301744.4331129,-0.0,-0.0,-0.0,-0.0
1612301744.4832265,-0.0,-0.0,-0.0,-0.0
1612301744.5333135,-0.0,-0.0,-0.0,-0.0
1612301744.5834336,-0.0,-0.0,-0.0,-0.0
1612301744.6335707,-0.0,-0.0,-0.0,-0.0
1612301744.6836963,-0.0,-0.0,-0.0,-0.0
1612301744.7338583,-0.0,-0.0,-0.0,-0.0
1612301744.783934,-0.0,-0.0,-0.0,-0.0
1612301744.8340209,-0.0,-0.0,-0.0,-0.0
1612301744.8841453,-0.0,-0.0,-0.0,-0.0
1612301744.934258,-0.0,-0.0,-0.0,-0.0
1612301744.9843783,-0.0,-0.0,-0.0,-0.0
